facility_id,production_start,EVI score difference,cost_evi
COM00971.01,2010,-0.06707292953860311,-966242.9682861933
COM01123.01,2016,0.024999789329780114,0.0
COM00018.00,2007,0.048030067427163065,0.0
COM00954.01,2009,-0.2784178363269363,-4010847.2739591207
COM00383.00,2009,-0.06643983556305338,-957122.7076035702
COM00778.00,2014,-0.21643054291580055,-3117867.24768591
COM00990.01,2009,-0.126748242994593,-1825916.944117808
COM01418.03,2007,-0.023723906583528798,-341763.1833632689
COM01418.02,2007,-0.03362030165900319,-484329.2263084447
COM00696.00,2014,-0.0644975860248845,-929142.9403290146
COM00338.00,2008,-0.08690337228615269,-1251917.472063366
COM00815.00,2004,-0.19012457247852432,-2738907.22411435
COM00263.03,2005,-0.21603527617137736,-3112173.0918614436
COM00795.01,2006,-0.13653692240016957,-1966931.2506273014
COM00164.00,2014,-0.0051811378686666965,-74638.72634993859
COM00790.00,2012,0.0141182011039169,0.0
COM00425.00,2005,0.08479846470055907,0.0
COM00325.00,2007,0.12490861240261131,0.0
COM01302.01,2010,-0.17571385108369708,-2531308.446016112
COM00177.00,2007,-0.2710576071648149,-3904816.87209958
COM00109.00,2010,-0.02476254689735108,-356725.686219682
COM01253.00,2006,-0.21825164318000098,-3144101.755958209
COM00906.00,2012,-0.0080125484180716,-115427.61916427819
COM01107.01,2007,-0.04026841125918569,-580100.9362629829
COM00015.00,2015,-0.055629353582353,-801388.4602776871
COM00705.00,2009,0.0013810127743547895,0.0
COM00146.00,2010,-0.2109254433999222,-3038561.5764780985
COM00264.00,2012,-0.018580750959209302,-267671.6237581359
COM00163.00,2015,-0.0807613279371164,-1163436.0652725296
COM00072.00,2004,0.1738663396295384,0.0
COM00627.01,2009,-0.09814484585189101,-1413860.5221252881
COM01402.06,2008,0.06930306907125879,0.0
COM00386.00,2015,0.06952181228763407,0.0
COM00317.01,2006,0.025694009199192597,0.0
COM01402.10,2016,0.016710697462025692,0.0
COM01147.00,2013,0.0593661204886948,0.0
COM01402.01,2008,0.06770286880287368,0.0
COM00627.05,2015,-0.012141087560722491,-174902.75978095288
COM00298.00,2016,-0.002794981709567601,-40264.104191302664
COM00672.02,2018,0.025153908608043785,0.0
COM00655.00,2009,-0.10618404083898639,-1529672.0079273484
COM00799.00,2014,-0.026635418349218204,-383706.0027694316
COM00672.01,2008,0.025470403008325204,0.0
COM00690.00,2015,0.06323771683852392,0.0
COM00786.01,2010,-0.115642957678943,-1665935.8023833777
COM00567.00,2016,-0.08380483102367012,-1207280.3326478994
COM00329.00,2016,-0.007070367155473795,-101854.69151524537
COM00827.00,2007,-0.013675031536546034,-197000.53589689577
COM01053.02,2018,-0.0664638438639113,-957468.5677299139
COM00512.04,2002,-0.019198901369364085,-276576.609588694
COM01396.00,2004,-0.0373512969285026,-538077.4071119686
COM00512.05,2002,0.06486123934413482,0.0
COM00544.02,2007,-0.04225737661376801,-608753.684864398
COM00789.00,2019,-0.0719585202284331,-1036624.084519618
COM01183.00,2003,-0.23786770916619798,-3426687.9789692694
COM00331.00,2017,0.02947371857063391,0.0
COM01028.03,2011,-0.4313592214208125,-6214098.852852157
COM01028.01,2011,-0.2428432362763539,-3498364.7063282337
COM00290.00,2018,-0.005785275374036725,-83341.84429122046
COM01028.02,2013,0.1464577373761381,0.0
COM01045.00,2014,-0.44191727548984566,-6366196.660017674
COM00809.00,2009,-0.18170446756495778,-2617608.4047406833
COM00565.00,2015,0.008885925426576104,0.0
COM00723.00,2013,0.020743656755435297,0.0
COM00364.00,2015,-0.02711328958976622,-390590.14707477274
COM00791.00,2016,-0.08476643299979386,-1221133.0323005202
COM00793.01,2016,-0.10769840762262922,-1551487.7578307264
COM00793.02,2019,-0.14180847588540682,-2042872.491334903
COM01049.04,2014,-0.34275822514168003,-4937725.65390621
COM00319.00,2013,-0.1004449948626216,-1446996.1376846135
COM00999.00,2006,-0.0965539095825789,-1390941.7232329636
COM01015.01,2009,-0.049421292450678195,-711956.0252187825
COM00244.00,2006,-0.05933853565294889,-854822.4032776537
COM01053.01,2009,-0.0053476181848542,-77037.01782133846
COM01348.00,2007,0.10423981284446782,0.0
COM01112.00,2012,-0.24256977010881858,-3494425.192082131
COM00960.00,2007,-0.3211847511252983,-4626941.292566567
COM01049.02,2010,-0.20716351288358437,-2984367.7469615177
COM01025.00,2012,-0.30097434411721474,-4335793.078345156
COM01021.00,2010,-0.2953703723891217,-4255063.068280096
COM01046.00,2011,-0.271319790304673,-3908593.844673072
COM01033.01,2009,-0.23425619534196052,-3374661.030667728
COM01269.01,2007,-0.1842674246006591,-2654529.994878486
COM01268.00,2009,-0.3593572849545165,-5176849.32025933
COM00368.00,2012,-0.15960791890734916,-2299288.7054122095
COM01249.00,2013,0.003547867035000485,0.0
COM00777.00,2005,-0.00017994106797436515,-2592.205124066798
COM01299.01,2009,-0.19850043101038195,-2859568.6364820544
COM01402.04,2007,0.009918206122564582,0.0
